Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
SRS1993106	deduplicated	15436984.0	3867090752	15436984.0	3867090752	0	0	2023-06-22-08:21:38
SRS1993106	filtered	15414591.0	3853692047	15369527.0	3848063749	45064	5628298	2023-06-22-08:32:00
SRS1993106	raw	19446457.0	4873776975	19446457.0	4873776975	0	0	2023-06-22-08:13:51
SRS1993108	QC	11461563.0	2848202647	11437057.0	2845212325	24506	2990322	2023-06-22-10:07:06
SRS1993108	clean	11437057.0	2845212325	11437057.0	2845212325	0	0	2023-06-22-10:06:25
SRS1993108	deduplicated	11538675.0	2864356500	11538675.0	2864356500	0	0	2023-06-22-08:26:20
SRS1993108	filtered	11478343.0	2852239237	11453455.0	2849201560	24888	3037677	2023-06-22-08:32:59
SRS1993108	raw	14371434.0	3573523230	14371434.0	3573523230	0	0	2023-06-22-08:16:25
SRS1993116	QC	18996797.0	4685681092	18957760.0	4681038955	39037	4642137	2023-06-22-09:35:54
SRS1993116	clean	18957760.0	4681038955	18957760.0	4681038955	0	0	2023-06-22-09:34:45
SRS1993116	deduplicated	21606687.0	5254949214	21606687.0	5254949214	0	0	2023-06-22-08:20:53
SRS1993116	filtered	21257318.0	5210011159	21205093.0	5203867831	52225	6143328	2023-06-22-08:26:06
SRS1993116	raw	23601827.0	5744954345	23601827.0	5744954345	0	0	2023-06-22-08:12:18
SRS1993122	QC	18975845.0	4686984220	18938729.0	4682538210	37116	4446010	2023-06-22-09:29:54
SRS1993122	clean	18938729.0	4682538210	18938729.0	4682538210	0	0	2023-06-22-09:28:23
SRS1993122	deduplicated	21302520.0	5221656692	21302520.0	5221656692	0	0	2023-06-22-08:21:07
SRS1993122	filtered	21046298.0	5184916256	20996851.0	5178994019	49447	5922237	2023-06-22-08:25:56
SRS1993122	raw	23479132.0	5758614747	23479132.0	5758614747	0	0	2023-06-22-08:12:17
SRS1993132	QC	18231083.0	4474758735	18204061.0	4471679524	27022	3079211	2023-06-22-09:48:17
SRS1993132	clean	18204061.0	4471679524	18204061.0	4471679524	0	0	2023-06-22-09:47:02
SRS1993132	deduplicated	18739325.0	4562119634	18739325.0	4562119634	0	0	2023-06-22-08:20:53
SRS1993132	filtered	18469588.0	4529569419	18440905.0	4526299204	28683	3270215	2023-06-22-08:29:17
SRS1993132	raw	20627870.0	5022397750	20627870.0	5022397750	0	0	2023-06-22-08:13:50
SRS1993134	QC	10918408.0	2702549961	10891510.0	2699240565	26898	3309396	2023-06-22-10:46:20
SRS1993134	clean	10891510.0	2699240565	10891510.0	2699240565	0	0	2023-06-22-10:46:13
SRS1993134	deduplicated	10970851.0	2716234595	10970851.0	2716234595	0	0	2023-06-22-08:32:12
SRS1993134	filtered	10930467.0	2705432726	10903423.0	2702105343	27044	3327383	2023-06-22-08:36:05
SRS1993134	raw	11701559.0	2897811619	11701559.0	2897811619	0	0	2023-06-22-08:18:22
SRS1993140	QC	12972124.0	3172144329	12958796.0	3170650992	13328	1493337	2023-06-22-08:58:37
SRS1993140	clean	12972124.0	3172144329	12958796.0	3170650992	13328	1493337	2023-06-22-10:56:19
SRS1993140	deduplicated	13335670.0	3243875798	13335670.0	3243875798	0	0	2023-06-22-08:28:04
SRS1993140	filtered	13210898.0	3226831461	13195781.0	3225128694	15117	1702767	2023-06-22-08:36:41
SRS1993140	raw	15113977.0	3683227300	15113977.0	3683227300	0	0	2023-06-22-08:17:36
SRS1993148	QC	14357645.0	3535410701	14348011.0	3534326530	9634	1084171	2023-06-22-10:44:30
SRS1993148	clean	14348011.0	3534326530	14348011.0	3534326530	0	0	2023-06-22-10:43:58
SRS1993148	deduplicated	14529742.0	3568349297	14529742.0	3568349297	0	0	2023-06-22-08:27:53
SRS1993148	filtered	14444455.0	3555270164	14434365.0	3554134550	10090	1135614	2023-06-22-08:36:07
SRS1993148	raw	16125035.0	3963753635	16125035.0	3963753635	0	0	2023-06-22-08:17:24
SRS1993150	QC	11954802.0	2977799106	11929585.0	2974672976	25217	3126130	2023-06-22-10:42:54
SRS1993150	clean	11954802.0	2977799106	11929585.0	2974672976	25217	3126130	2023-06-22-10:41:15
SRS1993150	deduplicated	13821449.0	3444589782	13821449.0	3444589782	0	0	2023-06-22-08:27:41
SRS1993150	filtered	13783621.0	3430531232	13747810.0	3426084252	35811	4446980	2023-06-22-08:34:56
SRS1993150	raw	14851641.0	3701982770	14851641.0	3701982770	0	0	2023-06-22-08:17:35
SRS1993166	QC	12347803.0	3039248541	12328839.0	3036980129	18964	2268412	2023-06-22-11:06:33
SRS1993166	clean	12347803.0	3039248541	12328839.0	3036980129	18964	2268412	2023-06-22-11:05:23
SRS1993166	deduplicated	12505877.0	3073552748	12505877.0	3073552748	0	0	2023-06-22-08:28:53
SRS1993166	filtered	12440572.0	3061097465	12421108.0	3058769393	19464	2328072	2023-06-22-08:36:30
SRS1993166	raw	14105035.0	3469365919	14105035.0	3469365919	0	0	2023-06-22-08:17:46
SRS1993172	QC	11440617.0	2842556066	11428390.0	2841072570	12227	1483496	2023-06-22-10:47:38
SRS1993172	clean	11440617.0	2842556066	11428390.0	2841072570	12227	1483496	2023-06-22-10:46:36
SRS1993172	deduplicated	11605312.0	2883403205	11605312.0	2883403205	0	0	2023-06-22-08:30:13
SRS1993172	filtered	11574689.0	2875180294	11561333.0	2873557144	13356	1623150	2023-06-22-08:36:21
SRS1993172	raw	12516246.0	3110434536	12516246.0	3110434536	0	0	2023-06-22-08:18:10
