NODE_32_length_94378_cov_160.538373	nz: 4	SRS1992958_vamb_615:0.776698	SRS1992958_vamb_2394:0.223213	SRS1992958_vamb_370:4.59242e-05	SRS1992958_vamb_664:4.28882e-05
NODE_33_length_93410_cov_110.165326	nz: 5	SRS1992958_vamb_664:0.991377	SRS1992958_vamb_370:0.00860215	SRS1992958_vamb_1046:8.23714e-06	SRS1992958_vamb_615:6.03713e-06	SRS1992958_vamb_2394:1.03547e-06
NODE_34_length_91922_cov_29.478561	nz: 5	SRS1992958_vamb_370:0.985775	SRS1992958_vamb_664:0.00836414	SRS1992958_vamb_2394:0.00335806	SRS1992958_vamb_615:0.00236183	SRS1992958_vamb_1046:2.65707e-05
NODE_35_length_90956_cov_115.693590	nz: 5	SRS1992958_vamb_664:0.998499	SRS1992958_vamb_615:0.000216797	SRS1992958_vamb_1046:0.000195354	SRS1992958_vamb_370:0.000110617	SRS1992958_vamb_2394:8.1968e-06
NODE_36_length_89198_cov_112.015324	nz: 5	SRS1992958_vamb_664:0.990907	SRS1992958_vamb_1046:0.00363948	SRS1992958_vamb_615:0.00190026	SRS1992958_vamb_370:0.00150426	SRS1992958_vamb_2394:0.000257804
NODE_37_length_88686_cov_204.785459	nz: 4	SRS1992958_vamb_615:0.753038	SRS1992958_vamb_2394:0.246821	SRS1992958_vamb_370:7.09744e-05	SRS1992958_vamb_664:6.99245e-05
NODE_38_length_86830_cov_21.211835	nz: 5	SRS1992958_vamb_370:0.991395	SRS1992958_vamb_664:0.00603641	SRS1992958_vamb_1046:0.00068633	SRS1992958_vamb_615:0.000196383	SRS1992958_vamb_2394:0.00019148
NODE_39_length_86023_cov_111.505409	nz: 5	SRS1992958_vamb_664:0.997246	SRS1992958_vamb_370:0.001061	SRS1992958_vamb_615:0.000599117	SRS1992958_vamb_1046:0.000503002	SRS1992958_vamb_2394:0.000320885
NODE_40_length_85726_cov_93.187917	nz: 5	SRS1992958_vamb_664:0.999841	SRS1992958_vamb_1046:5.42085e-05	SRS1992958_vamb_370:3.96382e-05	SRS1992958_vamb_615:3.86154e-05	SRS1992958_vamb_2394:5.54298e-06
NODE_41_length_85473_cov_172.743216	nz: 5	SRS1992958_vamb_664:0.990886	SRS1992958_vamb_370:0.00336421	SRS1992958_vamb_1046:0.00242651	SRS1992958_vamb_615:0.00173823	SRS1992958_vamb_2394:0.000746818
