,Scaffold,Bin,Color
3046819,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
3049970,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
3115145,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
2810011,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
3950705,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
3709617,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
3227379,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
864425,NODE_38_length_86830_cov_21.211835,SRS1992958_vamb_370,#e6194b
864415,NODE_26_length_121941_cov_18.059966,SRS1992958_vamb_370,#e6194b
864421,NODE_13_length_180141_cov_17.891524,SRS1992958_vamb_370,#e6194b
587794,NODE_2_length_382687_cov_21.297419,SRS1992958_vamb_370,#e6194b
3873290,NODE_3553_length_775_cov_53.813889,grey,grey
3873286,NODE_3553_length_775_cov_53.813889,grey,grey
2800793,NODE_2_length_382687_cov_21.297419,SRS1992958_vamb_370,#e6194b
3934233,NODE_2_length_382687_cov_21.297419,SRS1992958_vamb_370,#e6194b
14909,NODE_3553_length_775_cov_53.813889,grey,grey
14915,NODE_3553_length_775_cov_53.813889,grey,grey
3869731,NODE_2_length_382687_cov_21.297419,SRS1992958_vamb_370,#e6194b
14879,NODE_3553_length_775_cov_53.813889,grey,grey
643335,NODE_2_length_382687_cov_21.297419,SRS1992958_vamb_370,#e6194b
9018,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
163172,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
1807187,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
28529,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
180558,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
3943513,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
2466253,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
353108,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
1202416,NODE_6_length_227633_cov_137.557246,SRS1992958_vamb_615,#3cb44b
21725,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
179942,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
11776,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
847730,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
3975434,NODE_95_length_43954_cov_42.213536,multiple,darkblue
30787,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
21273,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
70822,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
25947,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
52974,NODE_2342_length_1344_cov_226.230411,grey,grey
820400,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
3896479,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
786810,NODE_3_length_335529_cov_199.766027,SRS1992958_vamb_615,#3cb44b
