,Scaffold,Bin,Color
80942,NODE_128_length_34490_cov_110.108639,SRS1992958_vamb_664,#4363d8
1378,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
43374,NODE_128_length_34490_cov_110.108639,SRS1992958_vamb_664,#4363d8
1287621,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
50383,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
1292970,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
52436,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
1286261,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
57620,NODE_1852_length_1755_cov_112.630588,grey,grey
8372,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
10856,NODE_215_length_20807_cov_111.163454,SRS1992958_vamb_664,#4363d8
3519419,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
53711,NODE_215_length_20807_cov_111.163454,SRS1992958_vamb_664,#4363d8
3702643,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
47429,NODE_215_length_20807_cov_111.163454,SRS1992958_vamb_664,#4363d8
3903949,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
85234,NODE_215_length_20807_cov_111.163454,SRS1992958_vamb_664,#4363d8
3528261,NODE_98_length_43502_cov_96.915115,SRS1992958_vamb_664,#4363d8
2923066,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
3998817,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
28105,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
55091,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
26259,NODE_6598_length_131_cov_251.657895,grey,grey
181890,NODE_6364_length_242_cov_460.224599,grey,grey
3619481,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
8824,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
29689,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
33241,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
27671,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
33187,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
33139,NODE_99_length_43418_cov_240.503678,SRS1992958_vamb_2394,#ffe119
21935,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
57196,NODE_229_length_19572_cov_200.984526,SRS1992958_vamb_664,#4363d8
93038,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
46765,NODE_229_length_19572_cov_200.984526,SRS1992958_vamb_664,#4363d8
4017016,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
59721,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
3898453,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
40496,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
86765,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
222399,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
3959802,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
36410,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
3940711,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
60133,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
3728598,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
53154,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
10192,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
59311,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
843665,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
27137,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
19138,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
3504451,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
9636,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
3047,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
1078,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
51015,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
3739510,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
153792,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
1280061,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
3532319,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
19453,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
42212,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
66814,NODE_898_length_3944_cov_184.638725,grey,grey
2298767,NODE_898_length_3944_cov_184.638725,grey,grey
4125,NODE_159_length_27985_cov_186.209273,SRS1992958_vamb_664,#4363d8
3001765,NODE_100_length_42929_cov_181.712693,SRS1992958_vamb_664,#4363d8
4678,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
2067,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
4010772,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
45581,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
21721,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
164388,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
1296534,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
127684,NODE_767_length_4649_cov_121.996953,grey,grey
1284632,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
7232,NODE_767_length_4649_cov_121.996953,grey,grey
106217,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
51335,NODE_767_length_4649_cov_121.996953,grey,grey
6115,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
58412,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
16229,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
53708,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
108667,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
1819680,NODE_914_length_3884_cov_140.928963,grey,grey
2467317,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
147074,NODE_914_length_3884_cov_140.928963,grey,grey
1292259,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
48231,NODE_914_length_3884_cov_140.928963,grey,grey
1817622,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
12585,NODE_914_length_3884_cov_140.928963,grey,grey
3741098,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
34980,NODE_1111_length_3158_cov_131.837577,grey,grey
3198,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
46789,NODE_1111_length_3158_cov_131.837577,grey,grey
31349,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
137974,NODE_1111_length_3158_cov_131.837577,grey,grey
2307973,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
122154,NODE_1111_length_3158_cov_131.837577,grey,grey
1287062,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
59153,NODE_374_length_11132_cov_162.281665,grey,grey
3060771,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
145168,NODE_374_length_11132_cov_162.281665,grey,grey
3924638,NODE_101_length_42183_cov_152.197375,SRS1992958_vamb_664,#4363d8
27647,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
3624,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
571575,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
9074,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
3986883,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
1519517,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
1287402,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
476529,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
1292157,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
3826111,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
1289625,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
771,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
2293469,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
4015280,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
1293477,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
23027,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
60000,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
10678,NODE_102_length_40716_cov_137.400310,SRS1992958_vamb_664,#4363d8
97392,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
156620,NODE_509_length_7707_cov_144.303581,grey,grey
1282339,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
6147,NODE_818_length_4313_cov_123.055425,grey,grey
5778,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
46441,NODE_818_length_4313_cov_123.055425,grey,grey
1290829,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
51019,NODE_818_length_4313_cov_123.055425,grey,grey
1283878,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
37744,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
6049,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
3741,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
1293169,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
4009048,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
6511,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
1279354,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
7256,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
2688111,NODE_103_length_40686_cov_132.849942,SRS1992958_vamb_664,#4363d8
1484,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
2353325,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
3516628,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
9048,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
3894836,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
18613,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
304760,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
53971,NODE_130_length_34417_cov_52.023078,multiple,darkblue
53977,NODE_130_length_34417_cov_52.023078,multiple,darkblue
53983,NODE_130_length_34417_cov_52.023078,multiple,darkblue
68608,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
3519739,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
9982,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
2898492,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
2898498,NODE_851_length_4133_cov_73.995096,grey,grey
12209,NODE_123_length_35565_cov_49.002985,SRS1992958_vamb_2394,#ffe119
3457575,NODE_123_length_35565_cov_49.002985,SRS1992958_vamb_2394,#ffe119
69482,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
40122,NODE_104_length_40564_cov_46.597497,SRS1992958_vamb_2394,#ffe119
28517,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
1430405,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
10070,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
5135,NODE_480_length_8184_cov_150.432772,grey,grey
113572,NODE_480_length_8184_cov_150.432772,grey,grey
16851,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
2483497,NODE_480_length_8184_cov_150.432772,grey,grey
20227,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
176972,NODE_277_length_15848_cov_132.794846,grey,grey
10642,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
5549,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
24959,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
3395306,NODE_1891_length_1710_cov_455.851360,grey,grey
3904313,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
3474970,NODE_1891_length_1710_cov_455.851360,grey,grey
184423,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
184425,NODE_1427_length_2356_cov_279.311604,grey,grey
32297,NODE_1427_length_2356_cov_279.311604,grey,grey
29817,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
31231,NODE_208_length_21065_cov_246.188101,SRS1992958_vamb_664,#4363d8
30479,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
3341801,NODE_1427_length_2356_cov_279.311604,grey,grey
3883886,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
70886,NODE_454_length_8788_cov_144.077408,grey,grey
97678,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
27363,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
3495830,NODE_977_length_3571_cov_138.351820,grey,grey
1688623,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
31701,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
83999,NODE_2430_length_1287_cov_507.016234,grey,grey
25459,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
4021939,NODE_151_length_29719_cov_183.967638,SRS1992958_vamb_664,#4363d8
3572986,NODE_105_length_40502_cov_208.164487,SRS1992958_vamb_664,#4363d8
2418970,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
2477857,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3963429,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
1284356,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
43337,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3937135,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
1087,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3996041,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
4020913,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
66586,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3828068,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
122494,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3947351,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
150208,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
3970511,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
35818,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
74296,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3597899,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
1283876,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
44646,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
3300579,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
53454,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
23540,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
60311,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
25523,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
45503,NODE_168_length_26251_cov_117.545809,SRS1992958_vamb_664,#4363d8
34786,NODE_106_length_39961_cov_116.736681,SRS1992958_vamb_664,#4363d8
3916041,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
3452326,NODE_243_length_18310_cov_120.272309,SRS1992958_vamb_664,#4363d8
529703,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
3032116,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
3959650,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
59042,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
3530639,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
58216,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
1630,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
41108,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
8056,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
53014,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
3952179,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
59213,NODE_202_length_21736_cov_105.144597,SRS1992958_vamb_664,#4363d8
22619,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
49079,NODE_494_length_7992_cov_130.204107,grey,grey
3942621,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
157670,NODE_494_length_7992_cov_130.204107,grey,grey
323556,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
56154,NODE_494_length_7992_cov_130.204107,grey,grey
1285509,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
47423,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
2509344,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
101134,NODE_508_length_7743_cov_117.895552,grey,grey
22433,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
47341,NODE_508_length_7743_cov_117.895552,grey,grey
3434807,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
3881194,NODE_1582_length_2096_cov_247.742773,grey,grey
1280013,NODE_107_length_39675_cov_115.542479,SRS1992958_vamb_664,#4363d8
13715,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
31833,NODE_696_length_5378_cov_191.291189,grey,grey
1287857,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
67354,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
1287859,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
67356,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
67350,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
25539,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
72792,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
3636,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
30353,NODE_108_length_39564_cov_99.678605,SRS1992958_vamb_664,#4363d8
1286632,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
7002,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
1294724,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
52604,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
6315,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
59111,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
3719102,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
41380,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
911176,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
57942,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
3486462,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
257773,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
1283842,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
59756,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
2423772,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
58544,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
15845,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
58823,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
20625,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
35630,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
21683,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
81678,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
107462,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
45215,NODE_199_length_21972_cov_120.358261,SRS1992958_vamb_664,#4363d8
3852878,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
52185,NODE_290_length_15108_cov_100.126553,grey,grey
3995689,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
50417,NODE_290_length_15108_cov_100.126553,grey,grey
3976059,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
3360592,NODE_290_length_15108_cov_100.126553,grey,grey
1827504,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
86022,NODE_290_length_15108_cov_100.126553,grey,grey
1316202,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
3768140,NODE_290_length_15108_cov_100.126553,grey,grey
3964491,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
46885,NODE_290_length_15108_cov_100.126553,grey,grey
1286592,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
58276,NODE_290_length_15108_cov_100.126553,grey,grey
1298408,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
51795,NODE_290_length_15108_cov_100.126553,grey,grey
17139,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
158218,NODE_290_length_15108_cov_100.126553,grey,grey
21283,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
49209,NODE_290_length_15108_cov_100.126553,grey,grey
3904581,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
146308,NODE_290_length_15108_cov_100.126553,grey,grey
2492160,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
86840,NODE_290_length_15108_cov_100.126553,grey,grey
10436,NODE_109_length_39248_cov_117.654045,SRS1992958_vamb_664,#4363d8
3324497,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
58036,NODE_270_length_16245_cov_147.105744,grey,grey
3942715,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
50356,NODE_270_length_16245_cov_147.105744,grey,grey
4027163,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
60225,NODE_270_length_16245_cov_147.105744,grey,grey
10671,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
45895,NODE_270_length_16245_cov_147.105744,grey,grey
12439,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
119010,NODE_270_length_16245_cov_147.105744,grey,grey
32853,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
48195,NODE_608_length_6222_cov_157.870602,grey,grey
3973106,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
57346,NODE_608_length_6222_cov_157.870602,grey,grey
26815,NODE_110_length_38928_cov_126.626810,SRS1992958_vamb_664,#4363d8
3990104,NODE_111_length_38923_cov_185.554930,grey,grey
45611,NODE_255_length_17302_cov_163.193483,SRS1992958_vamb_664,#4363d8
1298034,NODE_111_length_38923_cov_185.554930,grey,grey
177978,NODE_255_length_17302_cov_163.193483,SRS1992958_vamb_664,#4363d8
3996931,NODE_111_length_38923_cov_185.554930,grey,grey
52339,NODE_255_length_17302_cov_163.193483,SRS1992958_vamb_664,#4363d8
1470186,NODE_111_length_38923_cov_185.554930,grey,grey
2957,NODE_255_length_17302_cov_163.193483,SRS1992958_vamb_664,#4363d8
24079,NODE_111_length_38923_cov_185.554930,grey,grey
12479,NODE_111_length_38923_cov_185.554930,grey,grey
13565,NODE_111_length_38923_cov_185.554930,grey,grey
57064,NODE_111_length_38923_cov_185.554930,grey,grey
785,NODE_111_length_38923_cov_185.554930,grey,grey
958,NODE_111_length_38923_cov_185.554930,grey,grey
4022618,NODE_111_length_38923_cov_185.554930,grey,grey
1293181,NODE_111_length_38923_cov_185.554930,grey,grey
1298270,NODE_111_length_38923_cov_185.554930,grey,grey
7600,NODE_111_length_38923_cov_185.554930,grey,grey
4015444,NODE_111_length_38923_cov_185.554930,grey,grey
3956728,NODE_111_length_38923_cov_185.554930,grey,grey
2425019,NODE_111_length_38923_cov_185.554930,grey,grey
120784,NODE_111_length_38923_cov_185.554930,grey,grey
73594,NODE_111_length_38923_cov_185.554930,grey,grey
3957464,NODE_111_length_38923_cov_185.554930,grey,grey
3976591,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
37674,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
2986985,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
2419097,NODE_5028_length_495_cov_36.981818,grey,grey
4008537,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
25203,NODE_163_length_26953_cov_33.627519,SRS1992958_vamb_370,#e6194b
6542,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
907434,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
907428,NODE_112_length_38785_cov_31.788639,SRS1992958_vamb_370,#e6194b
26355,NODE_113_length_38640_cov_169.012570,SRS1992958_vamb_664,#4363d8
43886,NODE_262_length_16615_cov_164.203563,SRS1992958_vamb_664,#4363d8
89819,NODE_113_length_38640_cov_169.012570,SRS1992958_vamb_664,#4363d8
37592,NODE_262_length_16615_cov_164.203563,SRS1992958_vamb_664,#4363d8
547,NODE_113_length_38640_cov_169.012570,SRS1992958_vamb_664,#4363d8
44963,NODE_262_length_16615_cov_164.203563,SRS1992958_vamb_664,#4363d8
144976,NODE_113_length_38640_cov_169.012570,SRS1992958_vamb_664,#4363d8
