Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRS1992978	29683724.0	0.0	29683724.0	0.0	14841862.0	14841862.0	15863937.0	15391440.0	13819787.0	13184892.0	29683724.0	0.0	245447.0	0.0	0.0	86897.0	3711006670.0	1855484146.0	1855522524.0	1983477646.0	1958304852.0	0.0	0.0	16664356.0	0.008509582	125.0	125.0	125.0	126.0	126.0	126.0	35.9	551.8	196.6	7478510.0	41586.0	26145.0	149479.0	44.4	53.44321689556203	51.85144559355154	46.556783104437976	44.4179173745181	100.0	0.0	0.8268740135166329	0.0
SRS1992980	38662256.0	0.0	38662256.0	0.0	19331128.0	19331128.0	33051061.0	32172554.0	5611195.0	25399444.0	38662256.0	0.0	827407.0	0.0	0.0	126876.0	4837040929.0	2418463162.0	2418577767.0	4136524375.0	4078856305.0	0.0	0.0	85763447.0	0.02102635	125.0	125.0	125.0	126.0	126.0	126.0	36.0	592.0	217.2	15263364.0	103664.0	15306.0	703943.0	65.7	85.4866332683742	83.21437321195121	14.513366731625801	65.69571108318148	100.0	0.0	2.140089807485626	0.0
SRS1992988	31262834.0	0.0	31262834.0	0.0	15631417.0	15631417.0	19742527.0	19146976.0	11520307.0	16885690.0	31262834.0	0.0	115802.0	0.0	0.0	129193.0	3910037007.0	1954992512.0	1955044495.0	2469330777.0	2432256652.0	0.0	0.0	31159576.0	0.01281097	125.0	125.0	125.0	126.0	126.0	126.0	36.0	521.8	191.0	9330361.0	49794.0	34651.0	158682.0	54.0	63.15015139062569	61.24517054339987	36.84984860937431	54.01202590910344	100.0	0.0	0.3704142753021047	0.0
SRS1992990	20082814.0	0.0	20082814.0	0.0	10041407.0	10041407.0	14099684.0	13520366.0	5983130.0	11586284.0	20082814.0	0.0	162336.0	0.0	0.0	85832.0	2512607542.0	1256281898.0	1256325644.0	1764249202.0	1728943524.0	0.0	0.0	37588569.0	0.02174077	125.0	125.0	125.0	126.0	126.0	126.0	36.2	491.7	224.0	6527007.0	42724.0	20513.0	169939.0	57.7	70.20771093134658	67.32306538316791	29.792289068653428	57.69253253055074	100.0	0.0	0.8083329358126804	0.0
SRS1992991	26257308.0	0.0	26257308.0	0.0	13128654.0	13128654.0	18083365.0	17451668.0	8173943.0	14715630.0	26257308.0	0.0	300411.0	0.0	0.0	98936.0	3277585175.0	1638755982.0	1638829193.0	2257963403.0	2217311662.0	0.0	0.0	46323621.0	0.02089179	124.0	125.0	125.0	126.0	126.0	126.0	36.1	537.7	212.5	8335085.0	85137.0	28280.0	277332.0	56.0	68.86983616142219	66.46404117284224	31.13016383857782	56.04394022418444	100.0	0.0	1.1441043384950202	0.0
SRS1992992	25705270.0	0.0	25705270.0	0.0	12852635.0	12852635.0	18920352.0	18472592.0	6784918.0	17244790.0	25705270.0	0.0	129624.0	0.0	0.0	102635.0	3129536613.0	1564724558.0	1564812055.0	2308018871.0	2273507783.0	0.0	0.0	35068546.0	0.01542486	121.0	122.0	122.0	126.0	126.0	126.0	36.9	397.7	207.7	8644091.0	448442.0	41255.0	102508.0	67.1	73.60495338115491	71.86305376290542	26.395046618845086	67.0865935273195	100.0	0.0	0.5042701360460325	0.0
SRS1992993	21315960.0	0.0	21315960.0	0.0	10657980.0	10657980.0	15045582.0	14575142.0	6270378.0	12899424.0	21315960.0	0.0	63717.0	0.0	0.0	56231.0	2667546218.0	1333747600.0	1333798618.0	1883378672.0	1852352877.0	0.0	0.0	42196048.0	0.0227797	125.0	125.0	125.0	126.0	126.0	126.0	36.3	504.0	201.5	7156335.0	33864.0	15873.0	81499.0	60.5	70.5836471826744	68.37666236941709	29.41635281732561	60.5153321736389	100.0	0.0	0.2989168679243159	0.0
SRS1992994	36174122.0	0.0	36174122.0	0.0	18087061.0	18087061.0	26193305.0	25042676.0	9980817.0	18228846.0	36174122.0	0.0	227903.0	0.0	0.0	163330.0	4526867297.0	2263420354.0	2263446943.0	3278242982.0	3225732134.0	0.0	0.0	53035124.0	0.01644127	125.0	125.0	125.0	126.0	126.0	126.0	34.9	649.2	222.4	12113978.0	54186.0	28004.0	325170.0	50.4	72.40895853671306	69.2281515498842	27.59104146328693	50.39195146187653	100.0	0.0	0.6300166732450341	0.0
SRS1992995	29141662.0	0.0	29141662.0	0.0	14570831.0	14570831.0	22520142.0	21619706.0	6621520.0	17760782.0	29141662.0	0.0	236696.0	0.0	0.0	133808.0	3648589958.0	1824276341.0	1824313617.0	2819835055.0	2772548656.0	0.0	0.0	49145686.0	0.01772582	125.0	125.0	125.0	126.0	126.0	126.0	35.7	562.2	216.8	10491374.0	38376.0	43137.0	236966.0	60.9	77.27816622126768	74.18830813424437	22.721833778732318	60.946359202162185	100.0	0.0	0.8122254660698488	0.0
SRS1992998	29616076.0	0.0	29616076.0	0.0	14808038.0	14808038.0	22349966.0	21625820.0	7266110.0	19624154.0	29616076.0	0.0	326261.0	0.0	0.0	133714.0	3701755828.0	1850831906.0	1850923922.0	2793912170.0	2741202542.0	0.0	0.0	49061673.0	0.01789786	124.0	125.0	125.0	126.0	126.0	126.0	36.6	441.4	193.1	10426973.0	88379.0	23904.0	273654.0	66.3	75.46565588229852	73.02054465284328	24.534344117701483	66.2618302303114	100.0	0.0	1.1016348013153396	0.0
